Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
Jacksonville,_Florida	Jacksonville, Florida	Jacksonville	Jax
Jacksonville,_Florida	Jacksonville, Florida	Jacksonville	Where Florida Begins
Jacksonville,_Florida	Jacksonville, Florida	Jacksonville	Bold New City of the South
Melbourne,_Florida	Melbourne, Florida	Melbourne	The Harbor City
Miami,_Florida	Miami, Florida	Miami	The Magic City
Ocoee,_Florida	Ocoee, Florida	Ocoee	The Center of Good Living
Okeechobee,_Florida	Okeechobee, Florida	Okeechobee	Speckled Perch Capital of the World 
Orlando,_Florida	Orlando, Florida	Orlando	The City Beautiful
Ormond_Beach,_Florida	Ormond Beach, Florida	Ormond Beach	Birthplace of Speed
Panama_City_Beach,_Florida	Panama City Beach, Florida	Panama City Beach	The World's Most Beautiful Beaches
Pensacola,_Florida	Pensacola, Florida	Pensacola	City of Five Flags
Plant_City,_Florida	Plant City, Florida	Plant City	Strawberry Capital of the World
Plant_City,_Florida	Plant City, Florida	Plant City	Winter Strawberry Capital of the World
St._Petersburg,_Florida	St. Petersburg, Florida		Sunshine City
St._Petersburg,_Florida	St. Petersburg, Florida		St. Pete
Tampa,_Florida	Tampa, Florida	Tampa	The Big Guava
Tampa,_Florida	Tampa, Florida	Tampa	Cigar City
Tampa,_Florida	Tampa, Florida	Tampa	Lightning Capital of the World
Tampa,_Florida	Tampa, Florida	Tampa	Cigar Capital of the World (Ybor City area)
Tampa,_Florida	Tampa, Florida	Tampa	America's Next Greatest City
Tarpon_Springs,_Florida	Tarpon Springs, Florida	Tarpon Springs	Sponge Capital of the World
Algonquin,_Illinois	Algonquin, Illinois	Algonquin	The Gem of the Fox River Valley
Aurora,_Illinois	Aurora, Illinois	Aurora	City of Lights
Batavia,_Illinois	Batavia, Illinois	Batavia	The Windmill City, City of Energy
Beardstown,_Illinois	Beardstown, Illinois	Beardstown	Watermelon Capital
Bloomington,_Illinois	Bloomington, Illinois	Bloomington	The Evergreen City 
Champaign,_Illinois	Champaign, Illinois	Urbana	Shampoo-Banana
Chester,_Illinois	Chester, Illinois	Chester	The Home of Popeye
Bloomington-Normal,_Illinois	Bloomington-Normal, Illinois		Chi-Town
Bloomington-Normal,_Illinois	Bloomington-Normal, Illinois		City in a Garden (literal translation of city motto, Urbs in horto
Bloomington-Normal,_Illinois	Bloomington-Normal, Illinois		The City of the Big Shoulders
