Alabaster,_Alabama	Alabaster, Alabama	Alabaster	The City for Families
Rock_Springs,_Wyoming	Rock Springs, Wyoming	Rock Springs	Home of 56 Nationalities
Saratoga,_Wyoming	Saratoga, Wyoming	Saratoga	Where the Trout Leap in Main Street
Washington,_D.C.	Washington, D.C.	Washington, D.C.	The Capital of the World
Washington,_D.C.	Washington, D.C.	Washington, D.C.	Chocolate City
Washington,_D.C.	Washington, D.C.	Washington, D.C.	City of Magnificent Distances (reported in the 1880s)
Washington,_D.C.	Washington, D.C.	Washington, D.C.	District of Crime
Washington,_D.C.	Washington, D.C.	Washington, D.C.	Murder Capital of America (Late 1980s to early 1990s)
Aibonito,_Puerto_Rico	Aibonito, Puerto Rico	Aibonito	The Cold City 
A%C3%B1asco,_Puerto_Rico	Añasco, Puerto Rico	Añasco	City where the gods die 
Humacao,_Puerto_Rico	Humacao, Puerto Rico	Humacao	The gray city 
Humacao,_Puerto_Rico	Humacao, Puerto Rico	Humacao	Pearl of the orient 
Guayama,_Puerto_Rico	Guayama, Puerto Rico	Guayama	Witch city 
Ponce,_Puerto_Rico	Ponce, Puerto Rico	Ponce	City of the Lions (Spanish: La Ciudad de los Leones, after Juan Ponce de León y Loayza, one of its first settlers) 
Ponce,_Puerto_Rico	Ponce, Puerto Rico	Ponce	The Pearl of the South (Spanish: La Perla del Sur) 
Ponce,_Puerto_Rico	Ponce, Puerto Rico	Ponce	Genip City (Spanish: La Ciudad de las Quenepas) 
Ponce,_Puerto_Rico	Ponce, Puerto Rico	Ponce	The Noble City (Spanish: La Ciudad Señorial) 
Algoma,_Wisconsin	Algoma, Wisconsin	Algoma	Wisconsin's Trout and Salmon Capital
Algoma,_Wisconsin	Algoma, Wisconsin	Algoma	Warm Welcomes, Cool Breezes and Hot Fishing
Allenton,_Wisconsin	Allenton, Wisconsin	Allenton	You Have Friends in Allenton
Alma_Center,_Wisconsin	Alma Center, Wisconsin	Alma Center	Strawberry Capital of Wisconsin
Amery,_Wisconsin	Amery, Wisconsin	Amery	City of Lakes
Arbor_Vitae,_Wisconsin	Arbor Vitae, Wisconsin	Woodruff	Crossroads of the North
Ashland,_Wisconsin	Ashland, Wisconsin	Ashland	Ashland Tops Wisconsin
Babcock,_Wisconsin	Babcock, Wisconsin	Babcock	The Cranberry Pie Capital
Barron,_Wisconsin	Barron, Wisconsin	Barron	The Biggest Little Town in Wisconsin
Baraboo,_Wisconsin	Baraboo, Wisconsin	Baraboo	Circus City of the World
Barron,_Wisconsin	Barron, Wisconsin	Barron	Turkey Capital of Wisconsin
Bayfield,_Wisconsin	Bayfield, Wisconsin	Bayfield	Best Kept Secret in Wisconsin
Bear_Creek,_Wisconsin	Bear Creek, Wisconsin	Bear Creek	Home of the World's Largest Sauerkraut Plant
Beaver_Dam,_Wisconsin	Beaver Dam, Wisconsin	Beaver Dam	Beaver Dam - Make Yourself at Home
Belleville,_Wisconsin	Belleville, Wisconsin	Belleville	UFO Capital of the World
Belmont,_Wisconsin	Belmont, Wisconsin	Belmont	Home of the First Territorial Capital
Beloit,_Wisconsin	Beloit, Wisconsin	Beloit	Gateway to Wisconsin
Berlin,_Wisconsin	Berlin, Wisconsin	Berlin	Fur and Leather Capital
Birchwood,_Wisconsin	Birchwood, Wisconsin	Birchwood	Bluegill Capital of Wisconsin
Black_Creek,_Wisconsin	Black Creek, Wisconsin	Black Creek	Birthplace of the First Organized National Baseball Team
Black_Earth,_Wisconsin	Black Earth, Wisconsin	Black Earth	The Only Black Earth in the World
Black_River_Falls,_Wisconsin	Black River Falls, Wisconsin	Black River Falls	Deer Capital of Wisconsin
Blanchardville,_Wisconsin	Blanchardville, Wisconsin	Blanchardville	The Village in the Valley
Bloomer,_Wisconsin	Bloomer, Wisconsin	Bloomer	Rope Jump Capital of the World
Blue_River,_Wisconsin	Blue River, Wisconsin	Blue River	Heart of the Lower Wisconsin River
Bonduel,_Wisconsin	Bonduel, Wisconsin	Bonduel	Spelling Capital of Wisconsin
Boscobel,_Wisconsin	Boscobel, Wisconsin	Boscobel	Birthplace of the Gideon Bible
Boscobel,_Wisconsin	Boscobel, Wisconsin	Boscobel	Turkey Hunting Capital of Wisconsin
Boulder_Junction,_Wisconsin	Boulder Junction, Wisconsin	Boulder Junction	Musky Capital of the World
Boyceville,_Wisconsin	Boyceville, Wisconsin	Boyceville	Cucumber Capital of Wisconsin
Boyd,_Wisconsin	Boyd, Wisconsin	Boyd	The Friendly Town - Why Go By
Brodhead,_Wisconsin	Brodhead, Wisconsin	Brodhead	The Bicycle Gateway to Wisconsin
Burlington,_Wisconsin	Burlington, Wisconsin	Burlington	Chocolate City, USA
Cambridge,_Wisconsin	Cambridge, Wisconsin	Cambridge	The Umbrella City
Cassville,_Wisconsin	Cassville, Wisconsin	Cassville	Where History, Bald Eagles and the Mississippi Meet
Cedarburg,_Wisconsin	Cedarburg, Wisconsin	Cedarburg	Historic Cedarburg
Chippewa_Falls,_Wisconsin	Chippewa Falls, Wisconsin	Chippewa Falls	Naturally the World's Purest Water
Clam_Lake,_Wisconsin	Clam Lake, Wisconsin	Clam Lake	Heart of the Chequamegon National Forest
Clintonville,_Wisconsin	Clintonville, Wisconsin	Clintonville	The Good Life Unlimited
Colby,_Wisconsin	Colby, Wisconsin	Colby	Home of Colby Cheese
Columbus,_Wisconsin	Columbus, Wisconsin	Columbus	Red Bud City
Combined_Locks,_Wisconsin	Combined Locks, Wisconsin	Combined Locks	Headwaters Vacationland
Combined_Locks,_Wisconsin	Combined Locks, Wisconsin	Combined Locks	Conservation, Protection, Preservation
Cornell,_Wisconsin	Cornell, Wisconsin	Cornell	Stacker City
Cornucopia,_Wisconsin	Cornucopia, Wisconsin	Cornucopia	Wisconsin's Northern Most Post Office
Cross_Plains,_Wisconsin	Cross Plains, Wisconsin	Cross Plains	Famous For Friendliness
Cuba_City,_Wisconsin	Cuba City, Wisconsin	Cuba City	The City of Presidents
Cumberland,_Wisconsin	Cumberland, Wisconsin	Cumberland	Rutabaga Capital
Cumberland,_Wisconsin	Cumberland, Wisconsin	Cumberland	The Island City 
Delavan,_Wisconsin	Delavan, Wisconsin	Delavan	Clown Town, U.S.A
Dickeyville,_Wisconsin	Dickeyville, Wisconsin	Dickeyville	Home of the Famous Dickeyville Grotto
Dousman,_Wisconsin	Dousman, Wisconsin	Dousman	Bullfrog Station
Eagle_River,_Wisconsin	Eagle River, Wisconsin	Eagle River	Snowmobile Capital of the World
Eagle_River,_Wisconsin	Eagle River, Wisconsin	Eagle River	Wisconsin's Cranberry Country
Eau_Claire,_Wisconsin	Eau Claire, Wisconsin	Eau Claire	Horseradish Capital of the World
Eden,_Wisconsin	Eden, Wisconsin	Eden	Hometown of Baseball Star 
Edgar,_Wisconsin	Edgar, Wisconsin	Edgar	Progressive Village Serving People
Edgerton,_Wisconsin	Edgerton, Wisconsin	Edgerton	Tobacco City
Elkhorn,_Wisconsin	Elkhorn, Wisconsin	Elkhorn	The Christmas Card City
Elkhorn,_Wisconsin	Elkhorn, Wisconsin	Elkhorn	Living in Harmony
Ellsworth,_Wisconsin	Ellsworth, Wisconsin	Ellsworth	Cheese Curd Capital of Wisconsin
Elmwood,_Wisconsin	Elmwood, Wisconsin	Elmwood	UFO Capital of the World
Ephraim,_Wisconsin	Ephraim, Wisconsin	Ephraim	The Pearl of the Peninsula
Ettrick,_Wisconsin	Ettrick, Wisconsin	Ettrick	Fun City, USA
Evansville,_Wisconsin	Evansville, Wisconsin	Evansville	Soybean Capital of Wisconsin
Fennimore,_Wisconsin	Fennimore, Wisconsin	Fennimore	Fennimore..."The City on the Move!"
Florence_County,_Wisconsin	Florence County, Wisconsin	Florence County	Heart of Wild Rivers Country
Fond_du_Lac,_Wisconsin	Fond du Lac, Wisconsin	Fond du Lac	Winners Choice
Forest_Junction,_Wisconsin	Forest Junction, Wisconsin	Forest Junction	You Can Get There From Here
Appleton,_Wisconsin	Appleton, Wisconsin	Fox Cities	Refreshing Change of Place
Francis_Creek,_Wisconsin	Francis Creek, Wisconsin	Francis Creek	A Nice Place to Live
Fox_Lake,_Wisconsin	Fox Lake, Wisconsin	Fox Lake	Home of 
Fremont,_Wisconsin	Fremont, Wisconsin	Fremont	White Bass Capital of the World
Galesville,_Wisconsin	Galesville, Wisconsin	Galesville	Garden of Eden
Gays_Mills,_Wisconsin	Gays Mills, Wisconsin	Gays Mills	The Apple Capital of Wisconsin
Germantown,_Wisconsin	Germantown, Wisconsin	Germantown	Deutschstadt
Gleason,_Wisconsin	Gleason, Wisconsin	Gleason	Brook Trout Fishing Capital of the World
Glidden,_Wisconsin	Glidden, Wisconsin	Glidden	Black Bear Capital of the World
Grantsburg,_Wisconsin	Grantsburg, Wisconsin	Grantsburg	Home of Big Gust
Green_Bay,_Wisconsin	Green Bay, Wisconsin	Green Bay	Toilet paper Capital of the World
Green_Bay,_Wisconsin	Green Bay, Wisconsin	Green Bay	Titletown USA
Green_Lake,_Wisconsin	Green Lake, Wisconsin	Green Lake	Wisconsin's Lake Trout Capital
Haugen,_Wisconsin	Haugen, Wisconsin	Haugen	
Hayward,_Wisconsin	Hayward, Wisconsin	Hayward	Home of World Record Muskies
Hazel_Green,_Wisconsin	Hazel Green, Wisconsin	Hazel Green	Point of Beginning
Hillsboro,_Wisconsin	Hillsboro, Wisconsin	Hillsboro	Czech Capital of Wisconsin
Holmen,_Wisconsin	Holmen, Wisconsin	Holmen	Yes, Holmen
Horicon,_Wisconsin	Horicon, Wisconsin	Horicon	Home of the Horicon Marsh
Hurley,_Wisconsin	Hurley, Wisconsin	Hurley	Where 51 Ends...Family Fun Begins
Janesville,_Wisconsin	Janesville, Wisconsin	Janesville	Bower City
Janesville,_Wisconsin	Janesville, Wisconsin	Janesville	City of Parks
Janesville,_Wisconsin	Janesville, Wisconsin	Janesville	Wisconsin's Park Place
Jefferson,_Wisconsin	Jefferson, Wisconsin	Jefferson	The Gemuetlichkeit City
Jim_Falls,_Wisconsin	Jim Falls, Wisconsin	Jim Falls	Biggest Little Town on the River
Johnson_Creek,_Wisconsin	Johnson Creek, Wisconsin	Johnson Creek	Crossroads With a Future
Juda,_Wisconsin	Juda, Wisconsin	Juda	Buffalo Roast Capital of Wisconsin
Juneau,_Wisconsin	Juneau, Wisconsin	Juneau	Birthplace of 
Kaukauna,_Wisconsin	Kaukauna, Wisconsin	Kaukauna	The Electric City
Kenosha,_Wisconsin	Kenosha, Wisconsin	Kenosha	Kenosha...For All Seasons
Kewaskum,_Wisconsin	Kewaskum, Wisconsin	Kewaskum	Gateway to the Kettle Moraine State Forest
Kewaunee,_Wisconsin	Kewaunee, Wisconsin	Kewaunee	Kewaunee - Spirit of the Lakeshore
Lac_du_Flambeau,_Wisconsin	Lac du Flambeau, Wisconsin	Lac du Flambeau	Lake of Torches
La_Crosse,_Wisconsin	La Crosse, Wisconsin	La Crosse	God's Country
Lake_Geneva,_Wisconsin	Lake Geneva, Wisconsin	Lake Geneva	Enjoyed for Over 100 Years by the Rich &amp; Famous
Lake_Tomahawk,_Wisconsin	Lake Tomahawk, Wisconsin	Lake Tomahawk	Snowshoe Baseball Capital of the World
Lancaster,_Wisconsin	Lancaster, Wisconsin	Lancaster	City of the Dome
Land_O%27_Lakes,_Wisconsin	Land O' Lakes, Wisconsin	Land O' Lakes	Land of Four Seasons Fun
Langlade_County,_Wisconsin	Langlade County, Wisconsin	Langlade County	Wisconsin's Get-Away County
Lodi,_Wisconsin	Lodi, Wisconsin	Lodi	Home of Susie the Duck
Lone_Rock,_Wisconsin	Lone Rock, Wisconsin	Lone Rock	Coldest Spot in the Nation (With the Warmest Heart)
Madison,_Wisconsin	Madison, Wisconsin	Madison	Mad City
Manitowish,_Wisconsin	Manitowish, Wisconsin	Manitowish	Waters Wisconsin's Northwoods Year-Round Vacationland
Manitowoc,_Wisconsin	Manitowoc, Wisconsin	Manitowoc	Wisconsin's Maritime Capital
Marinette,_Wisconsin	Marinette, Wisconsin	Marinette	Marinette County Waterfalls Capital of Wisconsin
Marshfield,_Wisconsin	Marshfield, Wisconsin	Marshfield	The City in the Center
Marshfield,_Wisconsin	Marshfield, Wisconsin	Marshfield	Cheese City USA
Mayville,_Wisconsin	Mayville, Wisconsin	Mayville	Jayville
Mazomanie,_Wisconsin	Mazomanie, Wisconsin	Mazomanie	Turn-of-the-Century Railroad Town
Medford,_Wisconsin	Medford, Wisconsin	Medford	People, Pride and Progress
Menasha,_Wisconsin	Menasha, Wisconsin	Menasha (city)	Menasha on the Move
Menasha_(town),_Wisconsin	Menasha (town), Wisconsin	Menasha (town)	Bridging the Fox Cities
Menomonie,_Wisconsin	Menomonie, Wisconsin	Menomonie	Traditional Yet Progressive
Mercer,_Wisconsin	Mercer, Wisconsin	Mercer	Loon Capital of the World
Merrill,_Wisconsin	Merrill, Wisconsin	Merrill	Enjoy the Merrill Advantage
Middleton,_Wisconsin	Middleton, Wisconsin	Middleton	The Good Neighbor City
Milwaukee	Milwaukee	Milwaukee	A Great Place on a Great Lake
Milwaukee	Milwaukee	Milwaukee	Brew City/Brew Town/The Brew
Milwaukee	Milwaukee	Milwaukee	City of Festivals
Milwaukee	Milwaukee	Milwaukee	Cream City
Milwaukee	Milwaukee	Milwaukee	Mil-town
Milwaukee	Milwaukee	Milwaukee	The Mil/The Kee
Milwaukee	Milwaukee	Milwaukee	Killwaukee
Milton,_Wisconsin	Milton, Wisconsin	Milton	History in Progress
Mineral_Point,_Wisconsin	Mineral Point, Wisconsin	Mineral Point	The City Where Wisconsin Began
Minocqua,_Wisconsin	Minocqua, Wisconsin	Minocqua	The Island City
Monona,_Wisconsin	Monona, Wisconsin	Monona	City of Pride, and It Shows
Monroe,_Wisconsin	Monroe, Wisconsin	Monroe	Swiss Cheese Capital of the U.S.A
Montfort,_Wisconsin	Montfort, Wisconsin	Montfort	Home of the Fort
Mt._Horeb,_Wisconsin	Mt. Horeb, Wisconsin	Mt. Horeb	The Troll Capital
Muscoda,_Wisconsin	Muscoda, Wisconsin	Muscoda	Morel Mushroom Capital of Wisconsin
New_Auburn,_Wisconsin	New Auburn, Wisconsin	New Auburn	Gateway to the Ice Age Park
New_Berlin,_Wisconsin	New Berlin, Wisconsin	New Berlin	City Living with a Touch of Country
New_Glarus,_Wisconsin	New Glarus, Wisconsin	New Glarus	America's Little Switzerland
New_Holstein,_Wisconsin	New Holstein, Wisconsin	New Holstein	Cow Town, USA
New_London,_Wisconsin	New London, Wisconsin	New London	Heart of Wolf River Country
New_Richmond,_Wisconsin	New Richmond, Wisconsin	New Richmond	The Dirty Nerr
Norwalk,_Wisconsin	Norwalk, Wisconsin	Norwalk	The Black Squirrel Capital of the World
Oconomowoc,_Wisconsin	Oconomowoc, Wisconsin	Oconomowoc	A Special Place
Oconto,_Wisconsin	Oconto, Wisconsin	Oconto	Oconto - History on the Bay
Omro,_Wisconsin	Omro, Wisconsin	Omro	Bridge to the Future
Onalaska,_Wisconsin	Onalaska, Wisconsin	Onalaska	Sunfish Capital of the World
Oregon,_Wisconsin	Oregon, Wisconsin	Oregon	Horse Capital of Wisconsin
Oshkosh,_Wisconsin	Oshkosh, Wisconsin	Oshkosh	Oshkosh on the Water
Palmyra,_Wisconsin	Palmyra, Wisconsin	Palmyra	Heartbeat of the Kettle Moraine
Pardeeville,_Wisconsin	Pardeeville, Wisconsin	Pardeeville	Home of the World Watermelon Eating and Seed Spitting Championships
Park_Falls,_Wisconsin	Park Falls, Wisconsin	Park Falls	Ruffed Grouse Capital of the World
Peshtigo,_Wisconsin	Peshtigo, Wisconsin	Peshtigo	Home of the Great Peshtigo Fire
Phelps,_Wisconsin	Phelps, Wisconsin	Phelps	Headwaters County (Start of Wisconsin River)
Phillips,_Wisconsin	Phillips, Wisconsin	Phillips	We've Saved a Place for You!
Phillips,_Wisconsin	Phillips, Wisconsin	Phillips	Trophy Whitetail Capital
Pittsville,_Wisconsin	Pittsville, Wisconsin	Pittsville	Exact Geographical Center of the State
Platteville,_Wisconsin	Platteville, Wisconsin	Platteville	Home of the Chicago Bears Summer Training Camp
Plover,_Wisconsin	Plover, Wisconsin	Plover	Golden Sands Area
Plum_City,_Wisconsin	Plum City, Wisconsin	Plum City	A Small Village in a Peaceful Valley
Plymouth,_Wisconsin	Plymouth, Wisconsin	Plymouth	The Cream of Wisconsin
Poniatowski,_Wisconsin	Poniatowski, Wisconsin	Poniatowski	The Center of the Northwestern World
Portage,_Wisconsin	Portage, Wisconsin	Portage	Historic Portage
Port_Washington,_Wisconsin	Port Washington, Wisconsin	Port Washington	Picturesque Port Washington
Port_Washington,_Wisconsin	Port Washington, Wisconsin	Port Washington	Jewel of the Lake Michigan Shore
Potosi,_Wisconsin	Potosi, Wisconsin	Tennyson	Catfish Capital of Wisconsin
Prairie_du_Chien,_Wisconsin	Prairie du Chien, Wisconsin	Prairie du Chien	Wisconsin's Second Oldest Settlement (Where Great Rivers Meet)
Prescott,_Wisconsin	Prescott, Wisconsin	Prescott	Where the Mighty Mississippi Meets the Beautiful St. Croix River
Presque_Isle,_Wisconsin	Presque Isle, Wisconsin	Presque Isle	Walleye Capital of the World
Presque_Isle,_Wisconsin	Presque Isle, Wisconsin	Presque Isle	Wisconsin's Last Wilderness
Price_County,_Wisconsin	Price County, Wisconsin	Price County	We've Saved a Place for You
Princeton,_Wisconsin	Princeton, Wisconsin	Princeton	Princeton on the Fox - Where Yesterday Meets Tomorrow
Pulaski,_Wisconsin	Pulaski, Wisconsin	Pulaski	Polka Town
Racine,_Wisconsin	Racine, Wisconsin	Racine	Kringle Capital of the World
Racine,_Wisconsin	Racine, Wisconsin	Racine	The Belle City
Randolph,_Wisconsin	Randolph, Wisconsin	Randolph	A Great Place to Grow
Redgranite,_Wisconsin	Redgranite, Wisconsin	Redgranite	Home of the State Rock
Reedsburg,_Wisconsin	Reedsburg, Wisconsin	Reedsburg	Butter Capital of America
Rhinelander,_Wisconsin	Rhinelander, Wisconsin	Rhinelander	Home of the Hodag
Richland_Center,_Wisconsin	Richland Center, Wisconsin	Richland Center	From Farming to Frank Lloyd Wright
Ripon,_Wisconsin	Ripon, Wisconsin	Ripon	Birthplace of the Republican Party
Sauk_City,_Wisconsin	Sauk City, Wisconsin	Prairie du Sac	Cow Chip Throwing Capital of Wisconsin
Saukville,_Wisconsin	Saukville, Wisconsin	Saukville	Saukville Will Work for You
Sayner,_Wisconsin	Sayner, Wisconsin	Star Lake	The Birthplace of the Snowmobile
Seymour,_Wisconsin	Seymour, Wisconsin	Seymour	Home of the Hamburger. (Based on research indicating that the first 
Sheboygan,_Wisconsin	Sheboygan, Wisconsin	Sheboygan	Bratwurst Capital of the World
Sheboygan,_Wisconsin	Sheboygan, Wisconsin	Sheboygan	The City of Cheese, Chairs, and Children
Shiocton,_Wisconsin	Shiocton, Wisconsin	Shiocton	Where Nature Begins
Siren,_Wisconsin	Siren, Wisconsin	Siren	Lilac Capital of Wisconsin
Soldiers_Grove,_Wisconsin	Soldiers Grove, Wisconsin	Soldiers Grove	America's First Solar Village
Somerset,_Wisconsin	Somerset, Wisconsin	Somerset	Tubing Capital of the World
Sparta,_Wisconsin	Sparta, Wisconsin	Sparta	Bicycling Capital of America
Spencer,_Wisconsin	Spencer, Wisconsin	Spencer	A Friendly Small Town with a Future
Spooner,_Wisconsin	Spooner, Wisconsin	Spooner	Crossroads of the North
Spring_Valley,_Wisconsin	Spring Valley, Wisconsin	Spring Valley	Home of the Largest Earthen Dam in the Midwest
St._Germain,_Wisconsin	St. Germain, Wisconsin	St. Germain	The Friendliest Town in the Northwoods
St._Germain,_Wisconsin	St. Germain, Wisconsin	St. Germain	All Trails Lead to St. Germain
St._Germain,_Wisconsin	St. Germain, Wisconsin	St. Germain	Birthplace of Colorama
Stevens_Point,_Wisconsin	Stevens Point, Wisconsin		Gateway to the Pineries
Stockbridge,_Wisconsin	Stockbridge, Wisconsin	Stockbridge	Sturgeon Center of the World
Stoughton,_Wisconsin	Stoughton, Wisconsin	Stoughton	The City of Progress and Opportunity
Stratford,_Wisconsin	Stratford, Wisconsin	Stratford	Stratford on the Move
Sun_Prairie,_Wisconsin	Sun Prairie, Wisconsin	Sun Prairie	The Groundhog Capital of the World
Superior,_Wisconsin	Superior, Wisconsin	Superior	Where Sail Meets Rail
Superior,_Wisconsin	Superior, Wisconsin	Superior	I'm a Superior Lover
Superior,_Wisconsin	Superior, Wisconsin	Superior	Soup Town
Sussex,_Wisconsin	Sussex, Wisconsin	Sussex	Number One Best Place to Raise a Family in WI
Taycheedah,_Wisconsin	Taycheedah, Wisconsin	Taycheedah	Sheepshead Fishing Capital of the World
Tomah,_Wisconsin	Tomah, Wisconsin	Tomah	Gateway to Cranberry Country
Tomahawk,_Wisconsin	Tomahawk, Wisconsin	Tomahawk	Gateway to the Northwoods
Trego,_Wisconsin	Trego, Wisconsin	Trego	The Wild River City
Two_Rivers,_Wisconsin	Two Rivers, Wisconsin	Two Rivers	Birthplace of the Ice Cream Sundae
Two_Rivers,_Wisconsin	Two Rivers, Wisconsin	Two Rivers	Coolest Spot in Wisconsin or the Cool City
Verona,_Wisconsin	Verona, Wisconsin	Verona	Hometown USA
Viroqua,_Wisconsin	Viroqua, Wisconsin	Viroqua	Viroqua Quality - Discover It
Warrens,_Wisconsin	Warrens, Wisconsin	Warrens	The Cranberry Capital of Wisconsin
Watertown,_Wisconsin	Watertown, Wisconsin	Watertown	Home of the First Kindergarten in America
Waukesha,_Wisconsin	Waukesha, Wisconsin	Waukesha	The Gymnastics Capital of Wisconsin
Waunakee,_Wisconsin	Waunakee, Wisconsin	Waunakee	The Only Waunakee in the World
Waupaca,_Wisconsin	Waupaca, Wisconsin	Waupaca	Chain-O-Lakes
Waupun,_Wisconsin	Waupun, Wisconsin	Waupun	City of Sculpture
Waupun,_Wisconsin	Waupun, Wisconsin	Waupun	Wild Goose Center of Wisconsin
Wausau,_Wisconsin	Wausau, Wisconsin	Wausau	Our Peak Season Never Ends
Wausaukee,_Wisconsin	Wausaukee, Wisconsin	Wausaukee	Ranger City USA
Wautoma,_Wisconsin	Wautoma, Wisconsin	Wautoma	Christmas Tree Capital of the World
Wauwatosa,_Wisconsin	Wauwatosa, Wisconsin	Wauwatosa	Tosa 
Webster,_Wisconsin	Webster, Wisconsin	Webster	The Fishbowl of Wisconsin
Weyauwega,_Wisconsin	Weyauwega, Wisconsin	Weyauwega	Home of Horse and Buggy Days
Wild_Rose,_Wisconsin	Wild Rose, Wisconsin	Wild Rose	The Land of Lakes and Streams
Wilton,_Wisconsin	Wilton, Wisconsin	Wilton	The Heart of the Trail
Winchester,_Wisconsin	Winchester, Wisconsin	Winchester	Wisconsin's Unchanged Wilderness
Winneconne,_Wisconsin	Winneconne, Wisconsin	Winneconne	Winneconne on the Wolf
Wisconsin_Rapids,_Wisconsin	Wisconsin Rapids, Wisconsin	Wisconsin Rapids	Paper City
Wisconsin_Dells,_Wisconsin	Wisconsin Dells, Wisconsin		Midpoint of the 400 Trail
Wisconsin_Dells,_Wisconsin	Wisconsin Dells, Wisconsin		We Are User Friendly
Woodman,_Wisconsin	Woodman, Wisconsin	Woodman	The Dinky's Last Stop. (The Dinky was a narrow-gauge railroad connecting the communities of Fennimore and Woodman.)
Woodruff,_Wisconsin	Woodruff, Wisconsin	Woodruff	Home of the Million Penny Parade
